# Serie EXTRAPOLATA - VW Touran 2.0 TDI (BKD) pe ciclul R_B — radial litoral (Mamaia–Năvodari)
# Ciclul v(t) este masurat; consumul si CO2 sunt calculate cu modelul Willans calibrat pe masuratorile proprii ale vehiculului.
# Incertitudine estimata +/-10% (+/-15% peste 90 km/h pentru vehiculul MAS, in afara domeniului de calibrare).
t_s,v_kmh,a_ms2,dist_cum_m,debit_comb_g_s,consum_cum_l,CO2_g_s,CO2_cum_g
0,0.0,0.0,0.0,0.1276,0.0002,0.4031,0.4
1,0.0,0.0,0.0,0.1276,0.0003,0.4031,0.8
2,0.0,0.0,0.0,0.1276,0.0005,0.4031,1.2
3,0.0,0.0,0.0,0.1276,0.0006,0.4031,1.6
4,0.0,0.0,0.0,0.1276,0.0008,0.4031,2.0
5,0.0,0.0,0.0,0.1276,0.0009,0.4031,2.4
6,0.0,0.0,0.0,0.1276,0.0011,0.4031,2.8
7,0.0,0.0,0.0,0.1276,0.0012,0.4031,3.2
8,0.0,0.0,0.0,0.1276,0.0014,0.4031,3.6
9,0.0,0.0,0.0,0.1276,0.0015,0.4031,4.0
10,0.0,0.0,0.0,0.1276,0.0017,0.4031,4.4
11,0.0,0.0,0.0,0.1276,0.0018,0.4031,4.8
12,0.0,0.0,0.0,0.1276,0.002,0.4031,5.2
13,0.0,0.0,0.0,0.1276,0.0021,0.4031,5.6
14,0.0,0.0,0.0,0.1276,0.0023,0.4031,6.0
15,0.0,0.0,0.0,0.1276,0.0024,0.4031,6.4
16,0.0,0.0,0.0,0.1276,0.0026,0.4031,6.9
17,0.0,0.0,0.0,0.1276,0.0028,0.4031,7.3
18,0.0,0.0,0.0,0.1276,0.0029,0.4031,7.7
19,0.0,0.0,0.0,0.1276,0.0031,0.4031,8.1
20,0.0,0.0,0.0,0.1276,0.0032,0.4031,8.5
21,0.0,0.0,0.0,0.1276,0.0034,0.4031,8.9
22,0.0,0.0,0.0,0.1276,0.0035,0.4031,9.3
23,0.0,0.0,0.0,0.1276,0.0037,0.4031,9.7
24,0.0,0.0,0.0,0.1276,0.0038,0.4031,10.1
25,0.0,0.0,0.0,0.1276,0.004,0.4031,10.5
26,0.0,0.0,0.0,0.1276,0.0041,0.4031,10.9
27,0.0,0.0,0.0,0.1276,0.0043,0.4031,11.3
28,0.0,0.0,0.0,0.1276,0.0044,0.4031,11.7
29,0.0,0.0,0.0,0.1276,0.0046,0.4031,12.1
30,0.0,0.0,0.0,0.1276,0.0047,0.4031,12.5
31,0.0,0.0,0.0,0.1276,0.0049,0.4031,12.9
32,0.0,0.0,0.0,0.1276,0.005,0.4031,13.3
33,0.0,0.0,0.0,0.1276,0.0052,0.4031,13.7
34,0.0,0.0,0.0,0.1276,0.0053,0.4031,14.1
35,0.0,0.0,0.0,0.1276,0.0055,0.4031,14.5
36,0.0,0.0,0.0,0.1276,0.0057,0.4031,14.9
37,0.0,0.0,0.0,0.1276,0.0058,0.4031,15.3
38,0.0,0.0,0.0,0.1276,0.006,0.4031,15.7
39,0.0,0.0,0.0,0.1276,0.0061,0.4031,16.1
40,0.0,0.0,0.0,0.1276,0.0063,0.4031,16.5
41,0.0,0.0,0.0,0.1276,0.0064,0.4031,16.9
42,0.0,0.0,0.0,0.1276,0.0066,0.4031,17.3
43,0.0,0.0,0.0,0.1276,0.0067,0.4031,17.7
44,0.0,0.0069,0.0,0.1276,0.0069,0.4031,18.1
45,0.05,0.0875,0.0,0.1276,0.007,0.4031,18.5
46,0.63,0.1611,0.2,0.1276,0.0072,0.4031,18.9
47,1.21,0.1611,0.5,0.1007,0.0073,0.3181,19.3
48,1.79,0.1097,1.0,0.1027,0.0074,0.3245,19.6
49,2.0,0.0292,1.6,0.0988,0.0075,0.3122,19.9
50,2.0,0.0,2.1,0.0968,0.0077,0.306,20.2
51,2.0,0.0153,2.7,0.0979,0.0078,0.3093,20.5
52,2.11,0.0944,3.3,0.1039,0.0079,0.3283,20.8
53,2.68,0.1958,4.0,0.1172,0.008,0.3704,21.2
54,3.52,0.2764,5.0,0.1372,0.0082,0.4335,21.6
55,4.67,0.1486,6.3,0.1346,0.0084,0.4254,22.1
56,4.59,-0.0903,7.6,0.097,0.0085,0.3065,22.4
57,4.02,-0.1556,8.7,0.0936,0.0086,0.2959,22.7
58,3.47,-0.1542,9.6,0.0923,0.0087,0.2917,23.0
59,2.91,-0.1597,10.5,0.0909,0.0088,0.2874,23.3
60,2.32,-0.1625,11.1,0.0899,0.0089,0.2842,23.5
61,1.74,-0.1625,11.6,0.0899,0.009,0.2842,23.8
62,1.15,-0.0458,11.9,0.0921,0.0091,0.2912,24.1
63,1.41,0.1125,12.3,0.1001,0.0093,0.3164,24.4
64,1.96,0.0819,12.8,0.1021,0.0094,0.3226,24.8
65,2.0,0.0194,13.4,0.0981,0.0095,0.3101,25.1
66,2.1,0.0944,14.0,0.1038,0.0096,0.3281,25.4
67,2.68,0.0903,14.7,0.1077,0.0098,0.3404,25.7
68,2.75,-0.0667,15.5,0.0939,0.0099,0.2967,26.0
69,2.2,-0.1042,16.1,0.0899,0.01,0.2842,26.3
70,2.0,-0.0278,16.7,0.095,0.0101,0.3001,26.6
71,2.0,-0.0722,17.2,0.092,0.0102,0.2907,26.9
72,1.48,-0.1514,17.6,0.0899,0.0103,0.2842,27.2
73,0.91,-0.1597,17.9,0.1276,0.0105,0.4031,27.6
74,0.33,0.1056,18.0,0.1276,0.0106,0.4031,28.0
75,1.67,0.7208,18.4,0.136,0.0108,0.4299,28.4
76,5.52,0.6472,20.0,0.2361,0.0111,0.7461,29.2
77,6.33,-0.0375,21.7,0.1132,0.0112,0.3578,29.5
78,5.25,-0.4958,23.2,0.0966,0.0113,0.3053,29.8
79,2.76,-0.7181,23.9,0.0906,0.0114,0.2862,30.1
80,0.08,-0.1375,24.0,0.1276,0.0116,0.4031,30.5
81,1.77,0.4264,24.5,0.1213,0.0117,0.3834,30.9
82,3.15,0.2708,25.3,0.131,0.0119,0.4139,31.3
83,3.72,-0.0472,26.4,0.0999,0.012,0.3156,31.6
84,2.81,-0.4486,27.2,0.0907,0.0121,0.2866,31.9
85,0.49,-0.15,27.3,0.1276,0.0123,0.4031,32.3
86,1.73,0.4764,27.8,0.1235,0.0124,0.3904,32.7
87,3.92,0.6292,28.9,0.1896,0.0126,0.5991,33.3
88,6.26,0.6278,30.6,0.2525,0.0129,0.7979,34.1
89,8.44,0.5347,32.9,0.2857,0.0133,0.9029,35.0
90,10.11,0.4681,35.7,0.3044,0.0136,0.9619,36.0
91,11.81,0.4792,39.0,0.3471,0.0141,1.0968,37.1
92,13.56,0.3625,42.8,0.3372,0.0145,1.0656,38.1
93,14.42,0.1972,46.8,0.2762,0.0148,0.8728,39.0
94,14.98,0.1569,51.0,0.2652,0.0151,0.8379,39.9
95,15.55,0.125,55.3,0.2571,0.0154,0.8125,40.7
96,15.88,-0.0319,59.7,0.1782,0.0156,0.5632,41.2
97,15.32,-0.1556,63.9,0.1344,0.0158,0.4248,41.7
98,14.76,-0.1583,68.0,0.1311,0.0159,0.4144,42.1
99,14.18,-0.1569,72.0,0.1277,0.0161,0.4035,42.5
100,13.63,-0.1514,75.8,0.1244,0.0162,0.3932,42.9
101,13.09,-0.1514,79.4,0.1213,0.0164,0.3832,43.2
102,12.54,-0.1514,82.9,0.118,0.0165,0.3729,43.6
103,12.0,-0.075,86.2,0.1286,0.0167,0.4063,44.0
104,12.0,0.0806,89.6,0.1911,0.0169,0.604,44.6
105,12.58,0.4069,93.1,0.3345,0.0173,1.0571,45.7
106,14.93,0.5194,97.2,0.4458,0.0178,1.4087,47.1
107,16.32,0.275,101.7,0.35,0.0183,1.106,48.2
108,16.91,0.1611,106.4,0.2968,0.0186,0.9378,49.1
109,17.48,0.1403,111.3,0.2933,0.019,0.9269,50.1
110,17.92,-0.0903,116.3,0.1617,0.0192,0.5111,50.6
111,16.83,-0.3056,120.9,0.0449,0.0192,0.1419,50.7
112,15.72,-0.3125,125.3,0.0439,0.0193,0.1388,50.9
